rank,prev_rank,rider,team,points,manager
102,502,HAGENES Per Strand,Team Visma | Lease a Bike,416,
103,468,AUGUST Andrew,Netcompany INEOS,414,Gemini's Hipsters
104,212,NORDHAGEN Jørgen,Team Visma | Lease a Bike,412,Gemini's Hipsters
105,249,MOZZATO Luca,Tudor Pro Cycling Team,411,
106,111,SIMMONS Quinn,Lidl - Trek,411,
107,70,WELLENS Tim,UAE Team Emirates - XRG,405,
108,214,VENDRAME Andrea,Team Jayco AlUla,403,
109,181,VAN EETVELT Lennert,Lotto Intermarché,403,
110,437,VAN DIJKE Tim,Red Bull - BORA - hansgrohe,402,
111,152,VERNON Ethan,NSN Cycling Team,400,
112,69,O'CONNOR Ben,Team Jayco AlUla,400,Nick
113,132,LAURANCE Axel,Netcompany INEOS,392,
114,779,ISIDORE Noa,Decathlon CMA CGM Team,390,
115,92,DELETTRE Alexandre,TotalEnergies,385,
116,209,GUERIN Alexis,Anicolor / Campicarn,383,
117,284,BISIAUX Léo,Decathlon CMA CGM Team,381,Gemini's Hipsters
118,202,COSTIOU Ewen,Groupama - FDJ United,380,
119,174,SHEEHAN Riley,NSN Cycling Team,377,
120,136,GRUEL Thibaud,Groupama - FDJ United,376,
121,536,WALSCHEID Max,Lidl - Trek,371,
122,0,POZZOVIVO Domenico,Solution Tech NIPPO Rali,371,
123,64,CHAMPOUSSIN Clément,XDS Astana Team,370,
124,53,BITTNER Pavel,Team Picnic PostNL,370,
125,323,OMRZEL Jakob,Bahrain - Victorious,370,
126,167,RODRÍGUEZ Cristián,XDS Astana Team,368,
127,430,VINOKUROV Nicolas,XDS Astana Team,366,
128,33,NARVÁEZ Jhonatan,UAE Team Emirates - XRG,364,Nick
129,230,DE SCHUYTENEER Steffen,Lotto Intermarché,359,
130,320,PINARELLO Alessandro,NSN Cycling Team,359,
131,344,LEMMEN Bart,Team Visma | Lease a Bike,355,
132,1110,TUCKWELL Luke,Red Bull - BORA - hansgrohe,350,
133,478,VALGREN Michael,EF Education - EasyPost,349,
134,252,ZIMMERMANN Georg,Lotto Intermarché,348,
135,489,MARTÍNEZ Daniel Felipe,Red Bull - BORA - hansgrohe,347,
136,834,KAMP Alexander,Uno-X Mobility,347,
137,141,RENARD Alexis,Cofidis,345,
138,21,VINE Jay,UAE Team Emirates - XRG,344,Nick
139,544,MARIAULT Axel,CIC Pro Cycling Academy,343,
140,517,RUIZ Ibon,Equipo Kern Pharma,340,
141,90,ULISSI Diego,XDS Astana Team,339,
142,84,UIJTDEBROEKS Cian,Movistar Team,339,Andy
143,203,FAGÚNDEZ Eric Antonio,Burgos Burpellet BH,338,
144,235,RAJOVIĆ Dušan,Solution Tech NIPPO Rali,337,
145,135,PENHOËT Paul,Groupama - FDJ United,336,
146,128,LONARDI Giovanni,Team Polti VisitMalta,335,
147,487,POLITT Nils,UAE Team Emirates - XRG,334,
148,15,MCNULTY Brandon,UAE Team Emirates - XRG,330,Andy
149,594,BELOKI Markel,EF Education - EasyPost,329,
150,936,KRON Andreas,Uno-X Mobility,328,
151,408,CRESCIOLI Ludovico,Team Polti VisitMalta,328,
152,514,DONALDSON Robert,Team Jayco AlUla,327,
153,279,VERMAERKE Kevin,UAE Team Emirates - XRG,325,
154,204,HIGUITA Sergio,XDS Astana Team,323,
155,1528,GRISEL Matys,Lotto Intermarché,323,
156,326,CASTELLON Jan,Caja Rural - Seguros RGA,322,
157,382,BERASATEGI Xabier,Euskaltel - Euskadi,321,
158,179,FEDOROV Yevgeniy,XDS Astana Team,319,
159,122,ANIOŁKOWSKI Stanisław,Cofidis,319,
160,733,SOSA Iván Ramiro,Equipo Kern Pharma,317,
161,499,STEINHAUSER Georg,EF Education - EasyPost,313,
162,120,CORT Magnus,Uno-X Mobility,312,
163,1183,OLIVER Ben,Modern Adventure Pro Cycling,312,
164,217,SÖDERQVIST Jakob,Lidl - Trek,307,Joe
165,253,FIORELLI Filippo,Team Visma | Lease a Bike,306,
166,233,GARCÍA PIERNA Raúl,Movistar Team,306,
167,318,CHARMIG Anthon,Uno-X Mobility,305,
168,438,HUENS Axel,Groupama - FDJ United,305,
