rank,prev_rank,rider,team,points,manager
456,395,HODEG Álvaro José,Team Medellín - EPM,106,
457,996,ROWE Elliot,Team Visma | Lease a Bike Development,106,
458,610,REINDERINK Pepijn,Soudal Quick-Step,105,
459,735,DEGENKOLB John,Team Picnic PostNL,105,
460,849,BIZKARRA Mikel,Euskaltel - Euskadi,105,
461,448,JUARISTI Txomin,Euskaltel - Euskadi,105,
462,186,HAYTER Ethan,Soudal Quick-Step,104,
463,0,CROZZOLO Fabrizio,Team Polti VisitMalta,104,
464,0,POULARD Athit,Roojai Insurance Winspace,103,
465,1270,BELLETTA Dario Igor,Team Polti VisitMalta,103,
466,161,COVI Alessandro,Team Jayco AlUla,103,
467,355,ALEOTTI Giovanni,Red Bull - BORA - hansgrohe,103,
468,153,RUBIO Einer,Movistar Team,103,
469,1064,VAN GESTEL Dries,Soudal Quick-Step,102,
470,667,DONATI Davide,Red Bull - BORA - hansgrohe Rookies,102,
471,193,DE BONDT Dries,Team Jayco AlUla,102,
472,446,PACHER Quentin,Groupama - FDJ United,102,
473,581,GONZÁLEZ David,Pinarello Q36.5 Pro Cycling Team,102,
474,351,HOPKINS Dylan,Roojai Insurance Winspace,101,
475,400,LABROSSE Jordan,Decathlon CMA CGM Team,101,
476,432,VALTER Attila,Bahrain - Victorious,101,
477,1658,ADAMIETZ Johannes,REMBE | rad-net,101,
478,425,TERCERO Fernando,Team Polti VisitMalta,101,
479,726,OLIVEIRA Nelson,Movistar Team,100,
480,306,HALLER Marco,Tudor Pro Cycling Team,100,
481,627,DUPONT Timothy,Tarteletto - Isorex,99,
482,330,EIKING Odd Christian,Unibet Rose Rockets,99,
483,778,VAN DEN BERG Julius,Team Picnic PostNL,99,
484,1106,KERCKHAERT Jochem,BEAT CC p/b Saxo,99,
485,732,JASIM AL-ALI Abdulla,UAE Team Emirates Gen Z,98,
486,304,DEHAIRS Simon,Alpecin - Premier Tech,98,
487,347,AFFINI Edoardo,Team Visma | Lease a Bike,98,
488,302,MOLLEMA Bauke,Lidl - Trek,98,
489,527,SCALCO Matteo,XDS Astana Development Team,97,
490,649,REINDERS Elmar,Unibet Rose Rockets,96,
491,160,HOELGAARD Markus,Uno-X Mobility,96,
492,239,LØLAND Sakarias Koller,Uno-X Mobility,96,
493,114,JOHANNESSEN Anders Halland,Uno-X Mobility,96,
494,394,RAILEANU Cristian,Li Ning Star,95,
495,57,VELASCO Simone,XDS Astana Team,95,
496,545,HAMILTON Chris,Team Picnic PostNL,95,
497,236,OLIVEIRA Ivo,UAE Team Emirates - XRG,95,
498,519,DAUPHIN Florian,TotalEnergies,95,
499,171,DAINESE Alberto,Soudal Quick-Step,95,
500,1304,PERSICO Davide,MBH Bank CSB Telecom Fort,95,
501,346,ASGREEN Kasper,EF Education - EasyPost,95,
502,718,BELOHVOŠČIKS Kristiāns,BIKE AID,95,
503,0,SHNYRKO Aliaksei,Li Ning Star,94,
504,485,SWIFT Connor,Netcompany INEOS,94,
505,473,CAMARGO Diego Andrés,Team Medellín - EPM,94,
506,405,LUTSENKO Alexey,NSN Cycling Team,92,
507,860,SÜTTERLIN Jasha,Team Jayco AlUla,91,
508,797,BAIS Mattia,Team Polti VisitMalta,91,
509,548,GEENS Jonas,Alpecin - Premier Tech,91,
510,789,SKAARSETH Anders,Uno-X Mobility,90,
511,769,ZUKOWSKY Nickolas,Pinarello Q36.5 Pro Cycling Team,90,
512,1931,MANENTI Marco,Bardiani CSF 7 Saber,90,
513,751,LIEPIŅŠ Emīls,Pinarello Q36.5 Pro Cycling Team,90,
514,508,PEÑUELA Francisco Joel,Caja Rural - Seguros RGA,90,
515,696,JASCH Lennart,Tudor Pro Cycling Team,90,
516,521,PICKERING Finlay,Team Jayco AlUla,90,
517,242,ETXEBERRIA Haimar,Red Bull - BORA - hansgrohe,89,
518,864,BOU Joan,Caja Rural - Seguros RGA,89,
519,656,STANNARD Robert,Bahrain - Victorious,88,
520,541,GRAAT Tijmen,Team Visma | Lease a Bike,88,
521,329,MAGLI Filippo,Bardiani CSF 7 Saber,88,
522,155,MADOUAS Valentin,Groupama - FDJ United,88,
523,672,PĘKALA Piotr,ATT Investments,88,
524,421,CONCI Nicola,XDS Astana Team,87,
525,616,THORNLEY Callum,Red Bull - BORA - hansgrohe,87,
526,929,LAMBRECHT Michiel,Team Flanders - Baloise,87,
527,426,DE LA CALLE Hugo,Burgos Burpellet BH,87,
528,168,KÜNG Stefan,Tudor Pro Cycling Team,87,
529,0,ZEMKE Jermaine,REMBE | rad-net,87,
530,459,VAHTRA Norman,China Anta - Mentech Cycling Team,87,
531,2359,BESSEGA Gabriele,Team Polti VisitMalta,87,
532,166,TSARENKO Kyrylo,Solution Tech NIPPO Rali,87,
533,985,CHAMBERLAIN Oscar,Decathlon CMA CGM Team,86,
534,471,VERVAEKE Louis,Soudal Quick-Step,86,
535,588,DONNENWIRTH Tom,Groupama - FDJ United,86,
536,1859,MOURIS Wessel,Unibet Rose Rockets,86,
537,572,JACOBS Johan,Groupama - FDJ United,86,
538,423,BJERG Mikkel,UAE Team Emirates - XRG,86,
539,638,DARDER Sergi,Caja Rural - Seguros RGA,85,
540,0,THONNON Senne,Team Flanders - Baloise,85,
541,376,PEDERSEN Casper,Soudal Quick-Step,84,
542,1008,GIDDINGS Joshua,Lotto Intermarché,84,
543,1049,JARNET Maxime,Van Rysel Roubaix,84,
544,96,CHRISTEN Fabio,Pinarello Q36.5 Pro Cycling Team,84,
545,419,LOUVEL Matis,NSN Cycling Team,84,
546,462,MAISONOBE Sam,Cofidis,84,
547,803,KLUCKERS Arthur,Tudor Pro Cycling Team,83,
548,938,KOCKELMANN Mathieu,Lotto Intermarché,83,
549,467,ROULAND Louis,Cofidis,83,
550,746,AZPARREN Xabier Mikel,Pinarello Q36.5 Pro Cycling Team,83,
551,342,VAN BOVEN Luca,Lotto Intermarché,83,
552,386,VAN BAARLE Dylan,Soudal Quick-Step,83,
553,554,FERRON Valentin,Cofidis,83,
554,513,ANDERSEN Mads,Swatt Club,83,
555,384,VAN MECHELEN Vlad,Bahrain - Victorious,82,
556,542,TORRES Pablo,UAE Team Emirates - XRG,82,
557,740,TRATNIK Jan,Red Bull - BORA - hansgrohe,82,
558,758,GAFFURI Mattia,Team Picnic PostNL,82,
559,52,ALAPHILIPPE Julian,,82,Cameron
560,457,VAN ASBROECK Tom,NSN Cycling Team,82,
561,363,ROLLAND Brieuc,Groupama - FDJ United,82,
562,424,LEROUX Samuel,TotalEnergies,82,
563,450,GACHIGNARD Thomas,TotalEnergies,82,
564,258,BALDERSTONE Abel,Caja Rural - Seguros RGA,82,
565,1700,KÄLLBERG Axel,Lucky Sport Cycling Team,82,
566,1284,RENARD-HAQUIN Henri-François,Team Picnic PostNL,80,
567,621,HENNEQUIN Paul,Euskaltel - Euskadi,80,
568,486,VARGAS Wálter,Team Medellín - EPM,80,
569,683,REMIJN Senna,Alpecin - Premier Tech,80,
570,883,HESSMANN Michel,Movistar Team,79,
571,1023,LAU Wan Yau Vincent,Roojai Insurance Winspace,79,
572,558,GUTIÉRREZ Jorge,Equipo Kern Pharma,79,
573,2019,SYDOR Serhii,Huansheng - Vonoa - Taishan Sport Team,79,
574,775,MASNADA Fausto,MBH Bank CSB Telecom Fort,78,
575,1147,RODRIGUEZ Juan Felipe,EF Education - EasyPost,77,
576,100,PARET-PEINTRE Aurélien,Decathlon CMA CGM Team,77,
577,1334,ZOMERMAAND Jurgen,Development Team Picnic PostNL,77,
578,950,TEUGELS Lennert,Tarteletto - Isorex,77,
579,592,ROTA Lorenzo,Lotto Intermarché,76,
580,719,FRĄTCZAK Radosław,Wibatech Lubelskie Perła Polski,76,
581,1444,CARR Simon,Cofidis,76,
582,484,BERNARD Julien,Lidl - Trek,76,
583,786,MELLANO Ludovico Maria,XDS Astana Development Team,76,
584,770,BLUME LEVY William,Uno-X Mobility,76,
585,232,STEWART Jake,NSN Cycling Team,75,
586,628,SINSCHEK Nils,Li Ning Star,75,
587,1516,LOZANO Juan Pedro,Terengganu Cycling Team,75,
588,345,EENKHOORN Pascal,Soudal Quick-Step,75,
589,654,MOSCON Gianni,Red Bull - BORA - hansgrohe,75,
590,710,JUUL-JENSEN Christopher,Team Jayco AlUla,75,
591,180,HONORÉ Mikkel Frølich,EF Education - EasyPost,75,
592,1271,HOOGENDOORN Roy,Metec - SOLARWATT p/b Mantel,75,
593,694,COBARRUBIA Leonardo,,75,
594,2166,BESSEGA Tommaso,Team Polti VisitMalta,75,
595,0,NEVES José,GI Group Holding - Simoldes - UDO,75,
596,717,OOMEN Sam,Lidl - Trek,74,
597,617,BARTHE Cyril,Groupama - FDJ United,74,
598,406,SHAW James,EF Education - EasyPost,74,
599,264,RIKUNOV Petr,Wheeltop Rotor Chengdu Team,74,
600,1148,WALLENBORN Arno,Team Lotto Kern-Haus Outlet Montabaur,74,
601,1179,TAMM Lauri,China Anta - Mentech Cycling Team,74,
602,546,VAN DEN BOSSCHE Fabio,Soudal Quick-Step,73,
603,556,BÉVORT Carl-Frederik,Uno-X Mobility,73,
604,601,SYRITSA Gleb,XDS Astana Team,73,
605,488,GERMANI Lorenzo,Groupama - FDJ United,73,
606,1805,VERBRUGGHE Jens,NSN Development Team,73,
607,836,MILTIADIS Andreas,Quick Pro Team,72,
608,472,LEONARD Michael,EF Education - EasyPost,72,
609,1166,YILMAZ Ramazan,Konya Büyükşehir Belediye Spor,72,
610,516,VERGALLITO Luca,Alpecin - Premier Tech,72,
611,479,COLNAGHI Luca,Bardiani CSF 7 Saber,72,
612,0,BEISEMBAY Mansur,XDS Astana Development Team,71,
613,563,APARICIO Mario,Burgos Burpellet BH,71,
614,201,GAUDU David,Groupama - FDJ United,71,
615,2358,AVANCINI Henrique da Silva,Localiza Meoo / Swift Pro Cycling,71,
616,0,JACKOWIAK Jan Michal,Bahrain Victorious Development Team,71,
617,838,NEGRENTE Mattia,XDS Astana Development Team,71,
618,689,PŘIDAL Tomáš,Team United Shipping,71,
619,452,SAINBAYAR Jambaljamts,Burgos Burpellet BH,70,
620,493,HAIG Jack,Netcompany INEOS,70,
621,750,MARSMAN Tim,Alpecin - Premier Tech,70,
622,943,INGEBRIGTSEN Storm,Uno-X Mobility,70,
623,2390,REX Tim,Team Visma | Lease a Bike,70,
624,609,KOISHI Yuma,Kinan Racing Team,70,
625,682,LASTRA Jonathan,Euskaltel - Euskadi,70,
626,1566,VAN BELLE Loe,Team Visma | Lease a Bike,70,
627,325,VAN UDEN Casper,Team Picnic PostNL,69,
628,311,BREGNHØJ Mathias,Terengganu Cycling Team,69,
629,375,PLANCKAERT Edward,Alpecin - Premier Tech,69,
630,1273,ROUFFAER Lars,EEW-VDK Cyclingteam,69,
631,884,KYFFIN Zeb,Terengganu Cycling Team,68,
632,1506,MAŁECKI Kamil,Pinarello Q36.5 Pro Cycling Team,68,
633,336,LIVYNS Arjen,XDS Astana Team,67,
634,646,MULLEN Ryan,NSN Cycling Team,67,
635,428,EINHORN Itamar,NSN Cycling Team,67,
636,569,MACIEJUK Filip,Movistar Team,67,
637,1232,DEWEIRDT Siebe,Team Flanders - Baloise,67,
638,1830,JOHNSTON Calum,Li Ning Star,67,
639,880,SENTJENS Sente,Alpecin - Premier Tech,66,
640,928,BEULLENS Cedric,Lotto Intermarché,66,
641,1048,BOUWMAN Koen,Team Jayco AlUla,66,
642,1363,KUERE NOUNAWE Rodrigue Eric,SNH Vélo Club,66,
643,655,MÄRKL Niklas,Team Picnic PostNL,65,
644,759,DURBRIDGE Luke,Team Jayco AlUla,65,
645,624,VAN DER LEE Jardi Christiaan,EF Education - EasyPost,65,
646,768,DILLIER Silvan,Alpecin - Premier Tech,65,
647,976,KURITS Karl,Lucky Sport Cycling Team,65,
648,1001,AUGÉ Ronan,Unibet Rose Rockets,65,
649,511,HAMZA Yacine,Madar Pro Cycling Team,65,
650,0,FOFONOV Artëm,XDS Astana Development Team,65,
651,392,ZIJLAARD Maikel,Tudor Pro Cycling Team,64,
652,794,SKERL Daniel,Bahrain - Victorious,64,
653,350,BARTA Will,Tudor Pro Cycling Team,64,
654,633,DE PESTEL Sander,Decathlon CMA CGM Team,64,
655,192,TRÆEN Torstein,Uno-X Mobility,64,
656,0,LAURYSSEN Yorben,Tarteletto - Isorex,63,
657,1890,MUÑOZ Hodei,Euskaltel - Euskadi,63,
658,658,BURATTI Nicolò,MBH Bank CSB Telecom Fort,63,
659,1517,FRAYRE Eder,L39ION of Los Angeles,63,
660,727,HOPKINS Kaden,Atom 6 Bikes - Cycleur de Luxe - Auto Stroo Team,63,
661,1011,NIELSEN Sebastian,Team ColoQuick,63,
662,1229,WHITEHOUSE Daniel,St George Continental Cycling Team,63,
663,2520,RICHARDS Kane,Roojai Insurance Winspace,63,
664,292,LÓPEZ Juan Pedro,Movistar Team,63,
665,275,BARGUIL Warren,Team Picnic PostNL,63,
666,648,DE VRIES Hartthijs,Unibet Rose Rockets,62,
667,762,WALKER Max,EF Education - EasyPost,62,
668,716,LOULERGUE Victor,Groupama-FDJ United CT,62,
669,295,GLOAG Thomas,Pinarello Q36.5 Pro Cycling Team,62,
670,841,KIRSCH Alex,Cofidis,62,
671,535,BRENES Sebastian,Canel's - Java,62,
672,643,MOSCA Jacopo,Lidl - Trek,61,
673,681,MIKUTIS Aivaras,Tudor Pro Cycling Team,61,
674,410,IRIBAR Unai,Equipo Kern Pharma,61,
675,642,CRAPS Lars,Lotto Intermarché,61,Joe
676,475,GHEBREIGZABHIER Amanuel,Lidl - Trek,60,
677,528,PICKRELL Riley,Modern Adventure Pro Cycling,60,
678,1005,SÉNÉCHAL Florian,Alpecin - Premier Tech,60,
679,604,RICKAERT Jonas,Alpecin - Premier Tech,60,
680,941,TAROZZI Manuele,Bardiani CSF 7 Saber,60,
681,989,PRIETO José Juan,,60,
682,0,OGANDO Jonathan,,60,
683,2045,ARSAC Rémi,Decathlon CMA CGM Development Team,60,
684,0,LEAHY Conor,Team Brennan,60,
685,1142,LANDBO Mads,Team ColoQuick,60,
686,663,WALSH Liam,CCACHE x BODYWRAP,59,
687,587,PONOMAR Andrii,General Store - Essegibi - F.Lli Curia,59,
688,615,RAISBERG Nadav,NSN Cycling Team,59,
689,1771,DESTA Amaniel Teweldemedhn,Team Amani,59,
690,829,SAMUDIO Carlos Ariel,Solution Tech NIPPO Rali,59,
691,0,KONINGS Roan,Metec - SOLARWATT p/b Mantel,59,
692,562,SMIT Willie,China Anta - Mentech Cycling Team,59,
693,1529,SUTTON Louis,Euskaltel - Euskadi,58,
694,332,CAPIOT Amaury,Team Jayco AlUla,58,
695,662,NIYONKURU Samuel,Team Amani,58,
696,2489,TARAKÇI Mustafa,Konya Büyükşehir Belediye Spor,58,
697,0,PAPON Victor,Nice Métropole Côte d'Azur,58,
698,907,SERRANO Javier,Team Polti VisitMalta,58,
699,640,OTRUBA Jakub,Caja Rural - Seguros RGA,58,
700,0,WALSH Finn,CCACHE x BODYWRAP,58,
701,593,LEEMREIZE Gijs,Team Picnic PostNL,58,
702,812,RAMÍREZ Mateo,UAE Team Emirates Gen Z,58,
703,463,SCOTSON Callum,Decathlon CMA CGM Team,57,
704,1457,MATTIO Pietro,Team Visma | Lease a Bike,57,
705,476,SANDER HANSEN Marcus,BHS - PL Beton Bornholm,57,
706,2163,MONTI Alberto,ATT Investments,57,
707,303,BUCHMANN Emanuel,Cofidis,57,
708,317,TAARAMÄE Rein,Kinan Racing Team,56,
709,1000,BRUTTOMESSO Alberto,Bahrain - Victorious,56,
710,1794,LORELLO Riccardo,S.C. Padovani Polo Cherry Bank,56,
711,358,VAN HEMELEN Vincent,Team Flanders - Baloise,56,
712,725,BOULAHOITE Rayan,TotalEnergies,56,
713,800,REIS Rafael,Anicolor / Campicarn,56,
714,772,MIHOLJEVIĆ Fran,Bahrain - Victorious,55,
715,1641,IACOMONI Federico,Team UKYO,55,
716,377,GENIETS Kevin,Groupama - FDJ United,55,
717,1086,KIM Euro,LX Cycling Team,55,
718,660,GRADEK Kamil,Bahrain - Victorious,55,
719,1114,ROJAS Vicente,Bardiani CSF 7 Saber,55,
720,2405,MARTINSEN Toralf Rydningen,Team Drali - Repsol,55,
721,1460,VAN ZANDEN Otto,Azerion / Villa Valkenburg,55,
722,2475,WARD Jack,Lidl - Trek Future Racing,55,
723,890,VANDENABEELE Henri,Team Flanders - Baloise,54,
724,958,BOUCHARD Geoffrey,TotalEnergies,54,
725,1995,DAUMAS Rémi,Groupama-FDJ United CT,54,
726,846,KRIJNSEN Jelte,Team Jayco AlUla,53,
727,1237,SANLAVILLE Mathias,CIC Pro Cycling Academy,53,
728,888,MARIVOET Duarte,Lotto - Groupe Wanty,53,
729,0,HÉBERT Théo,Vendée U Primeo Energie,53,
730,801,CHAMPION Thomas,St Michel - Preference Home - Auber93,53,
731,968,BAX Sjoerd,Pinarello Q36.5 Pro Cycling Team,53,
732,892,ALMUTAIWEI Mohammad,UAE Team Emirates Gen Z,52,
733,68,SIVAKOV Pavel,UAE Team Emirates - XRG,52,
734,664,VADER Milan,Pinarello Q36.5 Pro Cycling Team,52,
735,1308,POLLEFLIET Gianluca,Decathlon CMA CGM Team,52,
736,494,WARBASSE Larry,Tudor Pro Cycling Team,52,
737,842,AMARI Hamza,Madar Pro Cycling Team,52,
738,269,KONRAD Patrick,Lidl - Trek,51,
739,602,CONSONNI Simone,Lidl - Trek,51,
740,380,MARTINEZ Juan Guillermo,Team Picnic PostNL,51,
741,270,CRAS Steff,Soudal Quick-Step,51,
742,619,BUDIAK Anatolii,China Meitan Cycling Team,51,
743,1272,ZABELINSKIY Bogdan,Aarco,51,
744,676,BOUGLAS Georgios,Burgos Burpellet BH,50,
745,310,HOWSON Damien,Pinarello Q36.5 Pro Cycling Team,50,
746,728,SCHULTZ Nick,NSN Cycling Team,50,
747,1467,GOGL Michael,Alpecin - Premier Tech,50,
748,447,SMITH Dion,NSN Cycling Team,50,
749,895,SOENENS Viktor,Soudal Quick-Step Devo Team,50,
750,862,KOLZE CHANGIZI Sebastian,Tudor Pro Cycling Team,50,
751,583,RACCANI Simone,Team UKYO,50,
752,1167,MARTINELLI Alessio,Bardiani CSF 7 Saber,50,
753,1289,SVRČEK Martin,Soudal Quick-Step,50,
754,456,KENCH Josh,Groupama - FDJ United,50,
755,992,RAFFERTY Adam,Hagens Berman Jayco,50,
756,893,TAMINIAUX Lionel,Lotto Intermarché,49,
757,1688,MERIS Sergio,Unibet Rose Rockets,49,
758,0,BOLDYREV Matvei,UAE Team Emirates Gen Z,49,
759,1065,ISASA Xabier,Euskaltel - Euskadi,49,
760,1118,MARIS Elias,Team Flanders - Baloise,49,
761,1652,MALMBERG Matias,Swatt Club,49,
762,0,MIKAYILZADE Musa,,49,
763,752,RAFFERTY Darren,EF Education - EasyPost,48,
764,848,MEZGEC Luka,Team Jayco AlUla,48,
765,650,DOULL Owain,Team Visma | Lease a Bike,48,
766,0,CISNEROS Jose Said,Soudal Quick-Step Devo Team,48,
767,844,VANHOOF Ward,Team Flanders - Baloise,48,
768,639,DE CASSAN Davide,General Store - Essegibi - F.Lli Curia,48,
769,914,FINKŠT Tilen,Solution Tech NIPPO Rali,48,
770,1660,PRONSKIY Daniil,Team Vino - North Qazaqstan Region,48,
771,671,NEUMAN Dominik,ATT Investments,48,
772,129,LANDA Mikel,Soudal Quick-Step,48,
773,982,EEMAN Kamiel,Lotto - Groupe Wanty,48,
774,338,BENNETT Sam,Pinarello Q36.5 Pro Cycling Team,48,
775,809,HUISING Menno,Team Visma | Lease a Bike,48,
776,799,STOSZ Patryk,Voster Team,48,
777,2498,GOMEZ Nicolas David,GW Erco SportFitness,47,
778,381,PITA Cristian David,Roojai Insurance Winspace,47,
779,63,LÓPEZ Harold Martín,XDS Astana Team,47,
780,1253,ROGERS Cameron,Netcompany INEOS Racing Academy,47,
781,1532,GUDNITZ Joshua,Team ColoQuick,47,
782,440,GUERNALEC Thibault,TotalEnergies,47,
783,1501,GAUTHIER Jérôme,Project Echelon Racing,47,
784,998,POMORSKI Michał,ATT Investments,47,
785,781,FAURA José Luis,Burgos Burpellet BH,46,
786,1141,MILAN Matteo,Groupama - FDJ United,46,
787,1161,ØXENBERG Peter,Netcompany INEOS,46,
788,693,DINA Márton,MBH Bank CSB Telecom Fort,46,
789,734,GONZÁLEZ Roberto Carlos,Solution Tech NIPPO Rali,46,
790,331,PELLAUD Simon,Li Ning Star,46,
791,1570,VAN BEKKUM Darren,XDS Astana Team,45,
792,0,YU Yuanfeng,China Anta - Mentech Cycling Team,45,
793,857,NABERMAN Tim,Team Picnic PostNL,45,
794,248,KIELICH Timo,Team Visma | Lease a Bike,45,
795,739,BAYER Tobias,Alpecin - Premier Tech,45,
796,568,LANHOVE Milan,Team Flanders - Baloise,45,
797,1456,AVONDTS Mathis,Azerion / Villa Valkenburg,45,
798,2518,WIGGINS Ben,Hagens Berman Jayco,45,
799,1120,GONZALEZ Jyven,L39ION of Los Angeles,45,
800,614,DALBY Simon,Uno-X Mobility,45,
801,0,COSTA Fábio,Feira dos Sofás - Boavista,45,
802,670,HEREMANS Joppe,Van Rysel Roubaix,44,
803,1245,CHU Tsun Wai,HKSI Pro Cycling Team,44,
804,688,HESTERS Jules,Team Flanders - Baloise,44,
805,372,KÄMNA Lennard,Lidl - Trek,44,
806,0,RUIZ Sebastian,,44,
807,1319,BUCK JONES Huw,Bourg-en-Bresse Ain Cyclisme,44,
808,1075,KONIJN Alexander,Nice Métropole Côte d'Azur,43,
809,1659,DARBELLAY Valentin,Elite Fondations Cycling Team,43,
810,1323,ŠTAJNAR Mihael,Pogi Team Gusto Ljubljana,43,
811,0,STIANSEN Jesper,Tudor Pro Cycling Team U23,43,
812,1417,GIMENO Nil,Equipo Kern Pharma,43,
813,835,NARRAWAY Nicholas,Competitive Edge Racing,43,
814,806,KACZMAREK Jakub,Voster Team,43,
815,576,O'BRIEN Kelland,Team Jayco AlUla,42,
816,555,SCHRETTL Marco,XDS Astana Team,42,
817,956,MACKELLAR Alastair,EF Education - EasyPost,42,
818,1824,WANG Gustav,XDS Astana Development Team,42,Joe
819,1664,NENCINI Tommaso,Solution Tech NIPPO Rali,42,
820,322,DUNBAR Eddie,Pinarello Q36.5 Pro Cycling Team,42,
821,635,GRIGNARD Sébastien,Lotto Intermarché,42,
822,498,PRADES Benjamín,VC Fukuoka,42,
823,255,DE PLUS Laurens,Netcompany INEOS,42,
824,1002,ASSAL Mohamed Nadjib,Madar Pro Cycling Team,42,
825,0,MESSEL Kevin Andre Sandli,Team Ringerike,42,
826,553,NOVÁK Pavel,Movistar Team,41,
827,1215,GIAIMI Luca,UAE Team Emirates - XRG,41,
828,549,CONTRERAS Rodrigo,Nu Colombia,41,
829,0,BARRY Ashlin,Team Visma | Lease a Bike Development,41,
830,608,MINTEGI Iker,Euskaltel - Euskadi,41,
831,922,RAPP Jonas,FNIX - SCOM - Hengxiang Cycling Team,41,
832,0,BOLLE Bert,VolkerWessels Cycling Team,41,
833,0,WAITES Thomas,St George Continental Cycling Team,41,
834,383,MAYER Alexandre,Burgos Burpellet BH,41,
835,0,ADAM Guillaume,Veloce Club Rouen 76,41,
836,827,PORTER Rudy,Team Jayco AlUla,40,
837,712,RESELL Erik Nordsæter,Uno-X Mobility,40,
838,818,MORO Manlio,Movistar Team,40,
839,665,SYELHAN Muhammad,ASC Monsters Indonesia,40,
840,483,BATSAIKHAN Tegshbayar,Roojai Insurance Winspace,40,
841,1038,BASTIAENS Ayco,Soudal Quick-Step,40,
842,1265,FRISON Frederik,Pinarello Q36.5 Pro Cycling Team,40,
843,146,LANGELLOTTI Victor,XDS Astana Team,40,
844,1189,MASCIARELLI Lorenzo,MBH Bank CSB Telecom Fort,40,
845,1151,HAUGLAND Kasper,Decathlon CMA CGM Development Team,40,
846,901,FELDMANN Karsten Larsen,Unibet Rose Rockets,39,
847,1492,PRIETO José Antonio,,39,
848,1095,RASENBERG Martijn,Unibet Rose Rockets,39,
849,0,GIULIANO Dario,Team Polti VisitMalta,39,
850,564,FLYNN Sean,Team Picnic PostNL,39,
851,636,LINAREZ Leangel Rubén,Tavfer-Ovos Matinados-Mortágua,39,
852,254,BARONCINI Filippo,UAE Team Emirates - XRG,39,
853,876,GARCÍA PIERNA Carlos,Burgos Burpellet BH,39,
854,225,MAYRHOFER Marius,Tudor Pro Cycling Team,39,
855,896,BORREMANS Kasper,Bahrain Victorious Development Team,39,
856,1473,CAMPOS Francisco,Team Tavira / Crédito Agrícola,39,
857,39,POWLESS Neilson,EF Education - EasyPost,39,Dave
858,1202,ABREU Jorge,Fina Arroz CES Multimarcas Bancamiga,38,
859,436,BAIS Davide,Team Polti VisitMalta,38,
860,913,WEISS Fabian,Tudor Pro Cycling Team,38,
861,743,LOZOUET Léandre,CIC Pro Cycling Academy,38,
862,1649,TODOME Yuhi,Aisan Racing Team,38,
863,510,PETER Jannis,Unibet Rose Rockets,38,
864,374,DE PRETTO Davide,Team Jayco AlUla,38,
865,0,DIJKMAN Daan,UAE Team Emirates Gen Z,38,
866,0,D'AIUTO Filippo,General Store - Essegibi - F.Lli Curia,38,
867,930,MARCHAND Gianni,Tarteletto - Isorex,38,
868,1709,DEL PINO Jesus,Aviludo - Louletano - Loulé,38,
869,0,VAN DE PUTTE Victor,Lotto - Groupe Wanty,38,
870,0,DEPUYDT Daan,Baloise Verzekeringen - Het Poetsbureau Lions,38,
871,686,WRIGHT Paul,Modern Adventure Pro Cycling,38,
872,867,KAMZONG Clovis,SNH Vélo Club,38,
873,1138,DINHAM Matthew,Team Picnic PostNL,37,
874,742,SERRANO Gonzalo,Movistar Team,37,
875,706,CATALDO Lorenzo,China Meitan Cycling Team,37,
876,1219,DUNWOODY Seth,Bahrain Victorious Development Team,37,
877,1013,VAN TRICHT Stan,Soudal Quick-Step Devo Team,37,
878,760,ERMAKOV Roman,Bahrain - Victorious,37,
879,1100,DUARTE Emanuel,Credibom / LA Alumínios / Marcos Car,37,
880,1244,KUKRLE Michael,Kasper crypto4me,37,
881,1074,HENAO Sergio,Nu Colombia,37,
882,0,BURNS Luke,Victoire Hiroshima,37,
883,909,PRICE-PEJTERSEN Johan,Alpecin - Premier Tech,37,
884,861,KHADBAATAR Temuulen,,36,
885,1388,XUE Ming,Li Ning Star,36,
886,1391,TAKHIROV Diyor,7 Saber Uzbekistan Cycling Team,36,
887,1312,ARRIOLABENGOA Julen,Caja Rural - Seguros RGA,36,
888,839,QUINTANA Hector Exequiel,Plus Performance - ZEO Sport,36,
889,824,VÉLEZ Cristian Damián,Team Sistecredito,36,
890,0,ZÜGER Andrin,Run & Race - Solarpur,36,
891,1511,ENKHTAIVAN Bolor-erdene,Huansheng - Vonoa - Taishan Sport Team,36,
892,1060,TU Sergio,Astemo Utsunomiya Blitzen,35,
893,1204,NG Pak Hang,HKSI Pro Cycling Team,35,
894,761,PAASSCHENS Mathijs,Bahrain - Victorious,35,
895,1076,GEORGE Alfred,Elite Fondations Cycling Team,35,
896,1354,FAURE PROST Alexy,Team Picnic PostNL,35,
897,1153,CARSTENSEN Lucas,Kinan Racing Team,35,
898,1670,METZGER Gabriel,ACRS Cycling Team,35,
899,0,NOVÁK Samuel,Tirol KTM Cycling Team,35,
900,1164,DONZÉ Robin,Tudor Pro Cycling Team,35,
901,1084,ABAY Burak,Konya Büyükşehir Belediye Spor,35,
902,286,MAIRE Adrien,Unibet Rose Rockets,35,
903,1593,DELGADO David,Quick Pro Team,35,
904,630,HELLEMOSE Asbjørn,Team Jayco AlUla,35,
905,1384,STOJNIĆ Veljko,Team United Shipping,35,
906,935,CRETTI Luca,MBH Bank CSB Telecom Fort,35,
907,0,MOREIRA Daniel Filipe Vieira,Hagens Berman Jayco,35,
